Title,Author,ID,Date_updated,Rating,Pairing,Warning,Complete,Language,Word_count,Num_chapters,Num_comments,Num_kudos,Num_bookmarks,Num_hits
An Unlikely Pair,rebellionstardust,24093418,09 May 2020,Mature,M/M,No Archive Warnings Apply,Work in Progress,English,"1,157",1,0,11,1,117
The Time Traveller's Curse,HogwartsDuchess (NephthysMoon),24093631,09 May 2020,Teen And Up Audiences,"F/M, M/M",No Archive Warnings Apply,Work in Progress,English,"4,043",1,8,72,14,1429
A Place Not Far From Here,Chemical_Pixie,24093775,09 May 2020,Mature,F/M,Graphic Depictions Of Violence,Work in Progress,English,"30,110",10,0,7,1,518
I’m going to marry her one day,Kaarina_Riddle,24093790,09 May 2020,General Audiences,F/M,Choose Not To Use Archive Warnings,Complete Work,English,"1,035",1,1,31,0,457
Best wingman ever,assassi,24093895,09 May 2020,Teen And Up Audiences,"F/M, M/M",No Archive Warnings Apply,Complete Work,English,"2,854",1,5,302,41,1911
"Et tout est bien qui finit bien, pour l'instant",NedMalone,24093901,09 May 2020,Teen And Up Audiences,Gen,Graphic Depictions Of Violence,Complete Work,Français,"1,763",1,0,3,0,61
Part Two: The First Task,DesertPersephone,24094093,09 May 2020,Teen And Up Audiences,M/M,No Archive Warnings Apply,Complete Work,English,"4,892",1,24,213,7,1216
Before the sun sets on the third day,Aethelar,24094123,09 May 2020,Teen And Up Audiences,M/M,No Archive Warnings Apply,Complete Work,English,"18,113",1,20,350,88,2389
Iskä tietää,Beelsebutt,24094195,06 Dec 2010,General Audiences,"Gen, M/M",No Archive Warnings Apply,Complete Work,Suomi,313,1,0,0,0,47
Whispered Spells,orphan_account,24094228,09 May 2020,General Audiences,M/M,No Archive Warnings Apply,Complete Work,English,407,1,5,143,7,1723
Yes Master...,orphan_account,24094570,11 May 2020,Explicit,"F/F, F/M, Gen, M/M",No Archive Warnings Apply,Work in Progress,English,"1,864",2,11,401,72,8374
Adelaide and mine,JosephineDarcy,24094579,09 May 2020,Not Rated,F/M,Choose Not To Use Archive Warnings,Complete Work,Tiếng Việt,"15,000",1,0,11,1,893
All I Want for Christmas,Beelsebutt,24094618,14 Dec 2010,General Audiences,F/M,No Archive Warnings Apply,Complete Work,English,257,1,0,13,0,308
Korvaan kuiskuteltua,Beelsebutt,24094711,22 Jan 2011,General Audiences,M/M,No Archive Warnings Apply,Complete Work,Suomi,0,1,0,1,0,48
Vibrating Snitch,Wetcakes,24094729,13 Feb 2021,Explicit,F/M,"Choose Not To Use Archive Warnings, Underage",Work in Progress,English,"7,214",4,22,218,33,11334
sometimes you just need someone to hold you,gryphonfeather,24094798,17 Dec 2020,General Audiences,M/M,No Archive Warnings Apply,Complete Work,English,"3,474",2,33,1117,97,9458
Ever After,Oh_to_Wonder,24094852,12 Sep 2021,Teen And Up Audiences,"F/M, M/M",Choose Not To Use Archive Warnings,Work in Progress,English,"124,316",39,2,22,7,1244
Luopuminen,Beelsebutt,24094873,05 Feb 2011,General Audiences,"F/M, Gen",No Archive Warnings Apply,Complete Work,Suomi,0,1,0,0,0,17
La peor pesadilla de Kreacher,Analif,24095020,09 May 2020,Explicit,M/M,Choose Not To Use Archive Warnings,Complete Work,Español,"11,014",1,1,31,2,338
When I'm Falling I'm at Peace,JessiRomantic,24095044,09 May 2020,Explicit,F/M,Major Character Death,Complete Work,English,"6,473",1,16,108,14,1327
in the dead of night,HogwartsToAlexandria,24095104,26 Jun 2020,Mature,F/M,"No Archive Warnings Apply, Graphic Depictions Of Violence",Complete Work,English,486,1,2,59,5,1269
is this hell?,unspeakable3,24095437,25 Dec 2021,Teen And Up Audiences,Gen,No Archive Warnings Apply,Complete Work,English,"24,053",2,123,2069,386,22367
Their Tailored Dreams,Amour_mort88,24095503,09 May 2020,Teen And Up Audiences,M/M,Graphic Depictions Of Violence,Complete Work,English,"2,030",1,2,54,8,726
Melancholy,Antosha,24095761,09 May 2020,General Audiences,Multi,No Archive Warnings Apply,Complete Work,English,100,1,0,9,1,446
A Beastly Curse,maraudersaffair,24095815,22 Mar 2021,Explicit,M/M,Choose Not To Use Archive Warnings,Work in Progress,English,"25,198",19,230,577,125,16343
Piece of Me,lyonessheart,24095827,18 Jun 2020,Teen And Up Audiences,M/M,Choose Not To Use Archive Warnings,Complete Work,English,"5,760",1,9,243,20,3629
Solitude,Antosha,24095839,09 May 2020,Teen And Up Audiences,Multi,No Archive Warnings Apply,Complete Work,English,"1,795",1,0,4,2,429
"Long time, no see (The Masquerade Ball)",alfisha,24095908,14 May 2020,Teen And Up Audiences,M/M,No Archive Warnings Apply,Complete Work,English,"1,539",1,11,636,47,6443
Now that the spring is in the air,cloudlesslysky,24095959,06 Jul 2020,Teen And Up Audiences,M/M,No Archive Warnings Apply,Complete Work,English,"5,746",1,17,476,72,4343
Räiskyvää rakkautta,Beelsebutt,24095992,06 Feb 2011,General Audiences,F/F,No Archive Warnings Apply,Complete Work,Suomi,0,1,0,0,0,14
right under their noses,anonymousmagpie,24096307,04 Apr 2022,Mature,No category,Choose Not To Use Archive Warnings,Complete Work,English,"129,460",14,559,2006,540,48458
Dark of the Moon,Antosha,24096334,09 May 2020,Teen And Up Audiences,Multi,No Archive Warnings Apply,Complete Work,English,"2,199",1,0,15,4,1062
Ready To Be With You,minervra,24096346,14 May 2020,General Audiences,"F/F, M/M",No Archive Warnings Apply,Complete Work,English,"9,890",3,4,75,5,809
Sparking Joy,willow_larkspur,24096355,09 May 2020,Teen And Up Audiences,"Gen, M/M",No Archive Warnings Apply,Complete Work,English,"1,339",1,3,36,1,407
Positive Reinforcement,Antosha,24096424,09 May 2020,Mature,Multi,Choose Not To Use Archive Warnings,Complete Work,English,401,1,1,69,12,3835
Hidden Treasures,willow_larkspur,24096478,09 May 2020,Teen And Up Audiences,"Gen, Multi",No Archive Warnings Apply,Complete Work,English,"1,319",1,2,62,11,516
A Silver Glow of Happiness,Athenowl,24096547,09 May 2020,General Audiences,Gen,No Archive Warnings Apply,Complete Work,English,"3,048",4,12,163,10,1108
Best of Wives,willow_larkspur,24096601,09 May 2020,Mature,"F/M, Gen",No Archive Warnings Apply,Complete Work,English,"1,522",1,3,200,18,2451
The First Year,huckleberrysigh,24096643,09 May 2020,Not Rated,"F/M, Gen, Other",No Archive Warnings Apply,Complete Work,English,"1,876",1,0,16,1,247
All the Way,CanonConvergence18,24096808,09 May 2020,Explicit,F/M,No Archive Warnings Apply,Complete Work,English,"7,299",1,10,224,43,7877
Hetki auringossa,Beelsebutt,24096934,14 Feb 2011,Teen And Up Audiences,M/M,No Archive Warnings Apply,Complete Work,Suomi,"30,301",17,0,2,1,139
Love at the End,Sakubato,24096979,09 May 2020,Explicit,F/M,No Archive Warnings Apply,Complete Work,English,"1,820",1,6,142,18,2933
I Get Off,mxstyassasxin,24097057,09 May 2020,Explicit,F/M,Choose Not To Use Archive Warnings,Complete Work,English,996,1,0,50,5,2753
The Godfather,Arithra,24097357,09 May 2020,Teen And Up Audiences,F/M,Choose Not To Use Archive Warnings,Complete Work,English,"1,761",1,1,88,0,833
Dueto Lento or Slow Duet,Ladibard_Wordsmith28,24097435,09 May 2020,Teen And Up Audiences,F/M,Choose Not To Use Archive Warnings,Complete Work,English,"1,475",1,0,63,4,794
Riddle Me Piss,Midnight_Clover,24097546,09 May 2020,General Audiences,Gen,No Archive Warnings Apply,Complete Work,English,"1,329",1,3,107,12,1031
Tangled Up Together,articcat621,24097549,09 May 2020,Explicit,Multi,No Archive Warnings Apply,Complete Work,English,"1,740",1,6,59,7,1467
Never Again,EmilyNorth,24097558,09 May 2020,Explicit,"F/M, M/M, Multi",No Archive Warnings Apply,Complete Work,English,"20,563",1,40,397,85,14561
A Different Victim,Diary,24097690,09 May 2020,General Audiences,Gen,No Archive Warnings Apply,Complete Work,English,100,1,0,4,0,88
Fond,orphan_account,24097720,09 May 2020,Mature,M/M,Choose Not To Use Archive Warnings,Complete Work,English,"6,402",1,15,1090,165,10145
It's all about Magic,Lexijos_dot,24097744,10 May 2022,Mature,"F/F, F/M, Multi",No Archive Warnings Apply,Work in Progress,English,"36,001",38,72,162,19,6078
Le soir du 31 octobre,LunaQueen,24097870,09 May 2020,Teen And Up Audiences,Gen,No Archive Warnings Apply,Complete Work,Français,181,1,0,2,0,10
Paper Chains & Chocolate Flowers,wickersnap,24098077,09 May 2020,Teen And Up Audiences,M/M,No Archive Warnings Apply,Complete Work,English,"6,152",1,12,392,49,3008
Finding their way back to love,Melissa1226,24098236,19 Jul 2021,Mature,No category,Choose Not To Use Archive Warnings,Complete Work,English,"294,524",45,170,507,137,28027
This Is Why I Hate Mondays,AtomicMint,24098449,04 Oct 2021,Teen And Up Audiences,Multi,No Archive Warnings Apply,Work in Progress,English,"28,162",61,195,758,115,15301
When It Rains It Pours Boys Down The Stairs,ReaderMagnifique,24098545,09 May 2020,General Audiences,F/M,No Archive Warnings Apply,Complete Work,English,"3,717",1,36,222,34,3090
Portraits,knitwrit,24098587,11 May 2020,General Audiences,Gen,No Archive Warnings Apply,Work in Progress,English,647,4,2,11,0,227
Kokoro,Blairette,24098605,09 May 2020,General Audiences,Gen,Major Character Death,Complete Work,English,"14,908",1,19,43,6,444
Mothers,Everyday_Im_Hufflepuffing,24098632,09 May 2020,Teen And Up Audiences,No category,Choose Not To Use Archive Warnings,Complete Work,English,"7,080",1,6,265,49,8993
Son of the Huntress,LittleMissReadsTooMuch,24099244,09 May 2020,Teen And Up Audiences,"F/M, M/M",No Archive Warnings Apply,Work in Progress,English,"18,775",5,30,258,63,3587
Don't Want You Like A Best Friend,moony_julymoonlight,24099316,09 May 2020,Mature,F/M,No Archive Warnings Apply,Complete Work,English,"11,777",1,18,314,52,4296
This Time Around,Flipdarkchill,24099469,26 Jun 2020,Teen And Up Audiences,Gen,Choose Not To Use Archive Warnings,Work in Progress,English,"9,047",3,18,104,26,2171
If you knew...,gnarf,24099553,10 Jul 2020,Teen And Up Audiences,M/M,No Archive Warnings Apply,Complete Work,English,0,1,44,167,5,2770
Anything for You,willow_larkspur,24099628,09 May 2020,Teen And Up Audiences,"Gen, Other",No Archive Warnings Apply,Complete Work,English,656,1,1,116,15,1237
Lightning Shrike,willow_larkspur,24099745,09 May 2020,Teen And Up Audiences,Gen,No Archive Warnings Apply,Complete Work,English,733,1,2,150,16,1927
Sleep is not an Option.,Selera,24099778,10 May 2020,Teen And Up Audiences,Other,Choose Not To Use Archive Warnings,Work in Progress,English,"2,866",1,2,19,8,215
Rise of the Dark Lord,1obssEssed,24099928,09 May 2020,Teen And Up Audiences,F/M,"Major Character Death, Rape/Non-Con, Underage",Work in Progress,English,486,1,0,12,0,599
And The Moon Shines Down Upon Us (Traducción),Maya_0196,24099964,10 May 2020,Explicit,M/M,Graphic Depictions Of Violence,Complete Work,Español,"6,374",1,2,88,7,1134
Violations over Tea,willow_larkspur,24100072,09 May 2020,Mature,Gen,No Archive Warnings Apply,Complete Work,English,682,1,0,27,3,554
Safety Measures,deceptive_serenade,24100087,27 Oct 2020,Mature,F/M,No Archive Warnings Apply,Complete Work,English,"138,701",28,355,460,68,15827
Claiming,willow_larkspur,24100192,17 Aug 2020,Teen And Up Audiences,Gen,No Archive Warnings Apply,Work in Progress,English,"7,846",2,43,689,187,6212
The things that bound us,marlo_zart,24100357,10 May 2020,General Audiences,No category,Choose Not To Use Archive Warnings,Complete Work,English,"2,337",1,10,129,16,922
Werewolves and Chocolate Don't Mix,great_minds_kink_alike,24100363,10 May 2020,Not Rated,M/M,Choose Not To Use Archive Warnings,Complete Work,English,"2,181",1,4,219,16,5147
The Toy,willow_larkspur,24100483,10 May 2020,Explicit,"F/M, M/M",No Archive Warnings Apply,Complete Work,English,"1,207",1,2,204,24,6550
Bow to Death,willow_larkspur,24100597,09 May 2020,Teen And Up Audiences,"Gen, M/M","Graphic Depictions Of Violence, Major Character Death",Complete Work,English,"1,377",1,10,670,80,7676
Harry Potter and the Art of Reverse Swing,SilverShroud,24100723,10 May 2020,Teen And Up Audiences,Gen,No Archive Warnings Apply,Complete Work,English,676,1,6,19,1,163
Do Dragons Like Ketchup?,EscapingArtist,24100741,10 May 2020,Teen And Up Audiences,No category,No Archive Warnings Apply,Complete Work,English,"1,687",1,30,122,5,1129
Where Did You Hide,WintersCurse,24101170,10 May 2020,General Audiences,No category,Choose Not To Use Archive Warnings,Work in Progress,English,500,1,3,16,3,200
Sweet Dreams,MarshmallowMcGonagall,24101323,09 May 2020,Mature,Gen,No Archive Warnings Apply,Complete Work,English,302,1,2,16,0,146
The Receptivity of the Masses is Very Limited,OhHamilton,24101455,09 May 2021,Explicit,"F/M, M/M",No Archive Warnings Apply,Complete Work,English,"52,740",16,157,590,113,21875
Well Trained,ScandalUs (WhyUsWriteUs),24101611,10 May 2020,Explicit,M/M,No Archive Warnings Apply,Complete Work,English,"1,689",1,6,253,27,6913
Dusk Falls,DarkLadyEvannaPotter,24101698,19 Apr 2022,Mature,"M/M, Multi",Choose Not To Use Archive Warnings,Complete Work,English,"13,591",4,29,304,82,7235
If she had sons,Lilas1739,24101986,17 May 2020,Not Rated,No category,Choose Not To Use Archive Warnings,Complete Work,English,947,4,0,3,0,107
The Order of Lies,Dlxm950,24102109,08 Sep 2020,Explicit,"F/F, F/M, Gen, M/M","Graphic Depictions Of Violence, Rape/Non-Con",Work in Progress,English,"12,423",2,20,73,10,1668
A Card or Two,sheankelor,24102229,10 May 2020,General Audiences,Gen,No Archive Warnings Apply,Complete Work,English,"1,147",1,25,44,2,227
Crime and Punishment,melolcatsi,24102232,20 Sep 2021,Teen And Up Audiences,Gen,No Archive Warnings Apply,Work in Progress,English,"176,981",26,1084,5184,2181,153046
The Fandom Games Reboot: Catching Fire Round,The Fandom Games (Hobbit4Lyfe),24102832,08 Jun 2020,Teen And Up Audiences,Gen,"Graphic Depictions Of Violence, Major Character Death",Work in Progress,English,"2,715",20,0,0,0,52
Amnesia,SeleneGray,24102856,10 May 2020,Teen And Up Audiences,M/M,No Archive Warnings Apply,Complete Work,Español,"10,069",1,0,24,2,418
Challenge Accepted,FaeOrabel,24102898,10 May 2020,Explicit,F/M,No Archive Warnings Apply,Complete Work,English,"7,087",1,38,269,53,6291
Float,violetjosh,24103195,10 May 2020,Not Rated,M/M,Choose Not To Use Archive Warnings,Complete Work,English,"2,271",2,4,33,3,412
A mishap at the supermarket,bea_weasley,24103381,10 May 2020,Teen And Up Audiences,F/M,Choose Not To Use Archive Warnings,Complete Work,English,"3,078",1,13,260,23,2772
Amnesia,SeleneGray,24103408,10 May 2020,Teen And Up Audiences,M/M,No Archive Warnings Apply,Complete Work,English,"10,354",1,0,131,19,2733
Company & Comfort,sweeterthanstrawberries,24103480,10 May 2020,General Audiences,F/M,No Archive Warnings Apply,Complete Work,English,"3,700",1,7,188,4,2361
Forty-Eight Hours,iamtabbyroad,24103549,10 May 2020,Explicit,"F/M, Multi",No Archive Warnings Apply,Complete Work,English,"6,584",1,21,926,145,19928
Four Houses and One Love,orphan_account,24103726,05 Nov 2019,General Audiences,F/M,No Archive Warnings Apply,Work in Progress,English,"4,387",5,0,8,0,176
"Outside, People Talk",ZandraGorin,24103987,10 May 2020,Teen And Up Audiences,M/M,Choose Not To Use Archive Warnings,Complete Work,English,764,1,2,109,9,1499
[podfic] That which hurts (and is desired),laughingd0g,24104035,10 May 2020,Explicit,M/M,No Archive Warnings Apply,Complete Work,English,32,1,9,69,9,4479
Polyjuiced,deancasdracohar,24104071,13 May 2020,Not Rated,No category,No Archive Warnings Apply,Complete Work,English,"9,773",4,23,391,43,3593
The Invasion,Puzzlebox,24104203,17 Jun 2020,General Audiences,M/M,No Archive Warnings Apply,Work in Progress,English,"2,889",2,19,269,70,2775
Dark Secret,SenpaiWikipedia,24104386,10 May 2020,Teen And Up Audiences,M/M,Underage,Complete Work,English,884,1,1,261,15,2826
Estate of Sirius Black v Ministry of Magic,George_Pushdragon,24104659,27 Dec 2007,Mature,Gen,Choose Not To Use Archive Warnings,Complete Work,English,"4,515",2,0,3,0,20
Very Midsummer Madness,George_Pushdragon,24104719,18 Jul 2005,Teen And Up Audiences,"F/M, M/M",Choose Not To Use Archive Warnings,Complete Work,English,"64,127",8,0,2,1,118
If You're Gonna Lie,maraudertimes (lostinthelightss),24104911,10 May 2020,Mature,F/M,Choose Not To Use Archive Warnings,Complete Work,English,"1,150",1,0,4,0,84
Before the Rings,ZandraGorin,24104947,10 May 2020,Teen And Up Audiences,M/M,No Archive Warnings Apply,Complete Work,English,188,1,5,57,4,830
how long can we lie to each other,FeatheryMinx,24105118,10 May 2020,Teen And Up Audiences,Gen,Choose Not To Use Archive Warnings,Complete Work,English,"6,019",2,27,259,35,2150
Harry Potter and the Kitchen Sink,George_Pushdragon,24105139,12 Jan 2011,Explicit,"Gen, M/M",Choose Not To Use Archive Warnings,Complete Work,English,"43,377",19,0,20,0,757
Harry Potter and the Phoenix's Granted Wish,my unfinished works (lyra_mare),24105481,04 Jun 2020,General Audiences,Gen,Graphic Depictions Of Violence,Complete Work,English,"23,836",7,91,529,159,8647
Lo que él crece para ser,DemonSpawn_01,24105571,23 Jul 2021,Mature,M/M,"Graphic Depictions Of Violence, Underage",Work in Progress,Español,"73,709",5,23,109,12,2464
Walk Mountains Long,nioueyes,24105688,10 May 2020,General Audiences,"Gen, M/M, Other",No Archive Warnings Apply,Complete Work,中文-普通话 國語,"2,095",1,0,7,0,174
Crimson Dream (2020),DulcetDamsel (galvanotrope),24105946,27 Sep 2020,Mature,M/M,"Graphic Depictions Of Violence, Underage",Work in Progress,English,"28,881",6,201,743,268,17466
I want you in my arms,alfisha,24106282,10 May 2020,Teen And Up Audiences,M/M,No Archive Warnings Apply,Complete Work,English,"3,207",1,53,1450,169,13121
A Shining in the Shadows,DaniWeasley7,24106318,08 Nov 2020,Mature,"F/M, M/M",No Archive Warnings Apply,Complete Work,English,"127,960",25,283,906,234,31214
We’re All In This Together,spac3bar7end3r,24106396,10 May 2020,General Audiences,M/M,Choose Not To Use Archive Warnings,Complete Work,English,"1,980",1,1,251,11,2202
Expanding the Potter Family,kamenhero25,24106810,05 Jun 2020,Explicit,"F/F, F/M, Multi",No Archive Warnings Apply,Work in Progress,English,"10,768",4,24,269,123,24378
A Tale of Horns,George_Pushdragon,24106906,28 Nov 2008,Explicit,M/M,Choose Not To Use Archive Warnings,Complete Work,English,"35,101",4,0,21,5,278
Ennakkoluulotauti,Beelsebutt,24107503,18 Feb 2011,General Audiences,M/M,No Archive Warnings Apply,Complete Work,Suomi,0,1,0,0,0,27
骚动,isaidnothing,24107626,10 May 2020,Mature,"F/M, M/M",Choose Not To Use Archive Warnings,Complete Work,中文-普通话 國語,"22,010",2,5,42,10,957
Child of the Imminas: The Watchtower falling,LadyJesus,24107743,10 May 2020,Teen And Up Audiences,"Gen, M/M",No Archive Warnings Apply,Work in Progress,English,"2,638",1,0,1,0,29
「珀西韦斯莱x你」扫雷,highwaytoOreo,24107764,10 May 2020,Not Rated,F/M,Choose Not To Use Archive Warnings,Complete Work,中文-普通话 國語,"3,696",1,1,12,0,1540
Regrets & Dad,ForelsketParadise,24107821,10 May 2020,General Audiences,Gen,No Archive Warnings Apply,Complete Work,English,"1,070",1,2,39,5,646
The Black Hawk,Hamlette,24108004,29 Oct 2020,Mature,"M/M, Multi",Graphic Depictions Of Violence,Complete Work,English,"224,826",23,252,295,56,8779
A Phoenix's Honor,AbyssUnknown,24108088,10 May 2020,Not Rated,No category,No Archive Warnings Apply,Complete Work,English,809,1,4,111,15,866
The Host,orpheous87,24108097,10 May 2020,General Audiences,M/M,No Archive Warnings Apply,Complete Work,English,764,1,1,70,4,768
Halloween,orphan_account,24108295,10 May 2020,Teen And Up Audiences,No category,Choose Not To Use Archive Warnings,Complete Work,English,"1,167",1,2,8,0,123
Истинный ученик,Grey Stingrey (Nashevans),24108415,31 Mar 2021,Explicit,M/M,Underage,Complete Work,Русский,"57,891",22,4,19,3,885
Kunnes aamu koittaa,Beelsebutt,24108481,19 Feb 2011,Teen And Up Audiences,M/M,No Archive Warnings Apply,Complete Work,Suomi,757,1,0,1,0,71
Après Moi Le Deluge,TheCactusIncident,24108577,10 May 2020,Not Rated,M/M,No Archive Warnings Apply,Complete Work,Italiano,"7,629",1,14,13,2,203
The Astronaut Phase,George_Pushdragon,24108586,22 Dec 2007,Explicit,"F/M, M/M",Choose Not To Use Archive Warnings,Complete Work,English,"18,064",2,0,13,2,160
Sattumalta ne suuretkin,Beelsebutt,24108616,20 Feb 2011,Explicit,M/M,No Archive Warnings Apply,Complete Work,Suomi,"2,103",1,0,2,1,170
Clouded Eyes,Lilianaxx,24108619,16 Feb 2021,Mature,"F/F, F/M, M/M",Choose Not To Use Archive Warnings,Work in Progress,English,"19,940",9,29,376,97,7737
Stung,George_Pushdragon,24108655,17 Jul 2007,Explicit,M/M,Choose Not To Use Archive Warnings,Complete Work,English,"21,637",1,0,16,1,235
Draco Under Glass,George_Pushdragon,24108685,14 Jul 2007,Explicit,M/M,Choose Not To Use Archive Warnings,Complete Work,English,"15,232",1,0,22,3,242
"Oh to be young, and to feel love's keen sting!",xFlora,24108715,10 May 2020,Teen And Up Audiences,F/M,"No Archive Warnings Apply, Choose Not To Use Archive Warnings",Complete Work,English,"11,355",6,16,222,31,3005
"It’s not the rising, it’s the waking",The401,24108727,20 Sep 2020,Not Rated,Gen,Choose Not To Use Archive Warnings,Work in Progress,English,"2,627",2,16,50,3,2494
Nocturne for Quill and Ink,George_Pushdragon,24108775,04 Jul 2007,Explicit,M/M,Choose Not To Use Archive Warnings,Complete Work,English,"16,552",2,2,4,0,188
Reliquary,George_Pushdragon,24108850,15 Jan 2011,Explicit,M/M,Choose Not To Use Archive Warnings,Complete Work,English,"100,318",9,7,63,32,2597
Breeding Ground: Late Fees Apply,megamatt09,24108859,10 May 2020,Explicit,F/M,Choose Not To Use Archive Warnings,Complete Work,English,"2,359",1,0,23,18,5460
Let Us Heal Together,pretzelsystem,24108892,25 May 2020,Teen And Up Audiences,M/M,No Archive Warnings Apply,Work in Progress,English,"3,420",5,4,96,34,1800
Breeding Ground: Wellness Check,megamatt09,24108940,10 May 2020,Explicit,F/M,Choose Not To Use Archive Warnings,Complete Work,English,"2,606",1,2,20,10,4311
Flaming Nargles,Antosha,24109054,10 May 2020,Teen And Up Audiences,"F/F, F/M, Multi",No Archive Warnings Apply,Complete Work,English,"8,136",4,0,32,8,1049
A New Area of Study,Melacka,24109222,10 May 2020,Mature,F/F,No Archive Warnings Apply,Complete Work,English,"3,708",1,32,134,12,1646
A Beginner’s Guide to Breaking Up with Your In-Laws (A Rom/Com in Three Acts),suitesamba,24109306,18 May 2020,Mature,M/M,No Archive Warnings Apply,Complete Work,English,"31,470",1,77,687,155,6311
Until We Meet Again,KrysKrossZee,24109342,13 Jul 2020,Teen And Up Audiences,M/M,No Archive Warnings Apply,Work in Progress,English,"8,713",6,12,26,1,755
And What If They Kissed?,JessiRomantic,24109603,10 May 2020,Teen And Up Audiences,F/M,Choose Not To Use Archive Warnings,Complete Work,English,853,1,0,3,2,171
Honoring Mothers' Day,Lillymoid,24109618,10 May 2020,Mature,M/M,Choose Not To Use Archive Warnings,Complete Work,English,"3,608",1,15,322,47,4020
The Child Who Lived To Be Swallowed By A Pit,zapphire2404,24109621,12 May 2020,General Audiences,M/M,No Archive Warnings Apply,Work in Progress,Español,"3,002",5,4,36,1,469
Made Your Choice,malfoylestrange,24109678,10 May 2020,General Audiences,Gen,No Archive Warnings Apply,Complete Work,English,463,1,0,11,0,239
The Perfect Lure,Four9s,24109720,10 May 2020,Teen And Up Audiences,M/M,Choose Not To Use Archive Warnings,Work in Progress,English,"6,563",1,11,198,51,2088
Headcanons: Rodolphus Lestrange I,malfoylestrange,24109735,10 May 2020,Teen And Up Audiences,Gen,No Archive Warnings Apply,Complete Work,English,887,1,3,10,0,105
And What If She Screamed,JessiRomantic,24109813,10 May 2020,Teen And Up Audiences,Gen,Choose Not To Use Archive Warnings,Complete Work,English,901,1,0,2,1,317
Not Tonight,malfoylestrange,24109825,10 May 2020,General Audiences,F/F,No Archive Warnings Apply,Complete Work,English,452,1,2,66,2,730
The Truth Untold,KellyUrban1587,24109897,03 Oct 2020,Mature,"M/M, Multi, Other",Choose Not To Use Archive Warnings,Complete Work,English,"73,047",27,111,1039,217,45682
Headcanons: Rodolphus/Sirius II,malfoylestrange,24109906,10 May 2020,Teen And Up Audiences,M/M,No Archive Warnings Apply,Complete Work,English,648,1,1,34,0,961
And What If They Couldn't?,JessiRomantic,24109951,10 May 2020,Teen And Up Audiences,F/M,Choose Not To Use Archive Warnings,Complete Work,English,749,1,0,5,1,160
Find Your Son,malfoylestrange,24109972,10 May 2020,Teen And Up Audiences,Gen,No Archive Warnings Apply,Complete Work,English,571,1,2,13,2,166
Relashio,Sansa_Stark,24110026,10 May 2020,Mature,F/F,Choose Not To Use Archive Warnings,Work in Progress,English,"1,041",1,0,13,0,351
And What If There Was a Happily Ever After,JessiRomantic,24110080,10 May 2020,Teen And Up Audiences,Gen,Choose Not To Use Archive Warnings,Complete Work,English,698,1,0,5,1,284
【德哈】Trelawney的麻瓜恋爱测试（小甜饼一发完）,Luna_L,24110122,10 May 2020,General Audiences,M/M,Choose Not To Use Archive Warnings,Complete Work,中文-普通话 國語,"5,914",1,0,38,0,1682
The Cure For Anything,FivePips,24110140,11 Jun 2020,Explicit,M/M,Choose Not To Use Archive Warnings,Work in Progress,English,"7,883",4,42,54,7,852
And What If There Was More to Their Story?,JessiRomantic,24110182,10 May 2020,Mature,F/M,Choose Not To Use Archive Warnings,Complete Work,English,920,1,2,22,1,631
The Next Day,Saltcoats_Selkie,24110221,10 May 2020,Mature,F/F,Underage,Complete Work,English,"12,000",1,7,72,5,2315
First Kiss,masaothedog,24110416,10 May 2020,General Audiences,M/M,No Archive Warnings Apply,Complete Work,English,330,1,7,59,2,651
And What If He Faded Into the Background?,JessiRomantic,24110449,10 May 2020,Mature,F/M,Choose Not To Use Archive Warnings,Complete Work,English,"1,862",1,1,16,5,1200
Poción para sanar un corazón herido,bangelus9,24110536,10 May 2020,Not Rated,F/M,Choose Not To Use Archive Warnings,Complete Work,Español,"1,012",1,1,11,2,107
And What If Karma Caught Up With Them?,JessiRomantic,24110545,10 May 2020,Mature,F/M,Choose Not To Use Archive Warnings,Complete Work,English,"1,837",1,2,44,9,1570
Evolution,TidalDragon,24110608,20 Oct 2020,Explicit,F/M,Choose Not To Use Archive Warnings,Complete Work,English,"212,523",72,176,189,41,11814
Scarred Ink Sky,JessiRomantic,24110779,10 May 2020,General Audiences,No category,Choose Not To Use Archive Warnings,Complete Work,English,"1,107",1,0,36,5,725
The Shop Keeper,MariaVenera,24110782,10 May 2020,Mature,F/M,No Archive Warnings Apply,Complete Work,English,"1,011",1,2,47,3,1466
"As Is The Father, So Is The Son",This_is_your_Heichou_speaking,24110854,10 May 2020,Explicit,M/M,Choose Not To Use Archive Warnings,Complete Work,English,"4,579",1,36,1754,243,35913
Never Crossed Their Lips,JessiRomantic,24110866,10 May 2020,Teen And Up Audiences,F/M,Choose Not To Use Archive Warnings,Complete Work,English,"1,142",1,2,16,1,328
SuperWorts,ConnorBlueNovak,24111001,10 May 2020,Teen And Up Audiences,Multi,Graphic Depictions Of Violence,Work in Progress,English,819,1,1,5,0,148
Battlefield,JessiRomantic,24111028,10 May 2020,Teen And Up Audiences,F/M,Choose Not To Use Archive Warnings,Complete Work,English,346,1,2,18,2,437
Laughing in Love,drarryruinedme7,24111133,12 May 2020,Explicit,M/M,No Archive Warnings Apply,Complete Work,English,"2,626",1,36,523,46,7915
Unromantic,JessiRomantic,24111142,10 May 2020,General Audiences,F/M,Choose Not To Use Archive Warnings,Complete Work,English,"1,405",1,2,14,3,240
