Title,Author,ID,Date_updated,Rating,Pairing,Warning,Complete,Language,Word_count,Num_chapters,Num_comments,Num_kudos,Num_bookmarks,Num_hits,Tags,Summary
No Coffee,obviousPlant,24425581,18 Oct 2021,Mature,F/M,No Archive Warnings Apply,Work in Progress,English,"11,918",7,46,201,40,4023,"
No Archive Warnings ApplyDraco Malfoy/Hermione Granger Hermione Granger/Draco MalfoyHermione Granger Draco MalfoyMemory Alteration Draco Malfoy in the Muggle World Muggle London Coffee
","
He's a grumpy barista. She's a rather annoying customer. As far as he knows, anyway.Hermione Granger knows better — Draco Malfoy is serving her coffee in the middle of Muggle London. What she can't understand is why. And she's determined to find out.“If you were happy, really happy, would you even want to know that it was all a lie?”
"
In Another Universe,rosequartzstars,24425818,09 Sep 2020,Teen And Up Audiences,"F/M, Gen, M/M, Multi",Rape/Non-Con,Complete Work,English,"164,203",57,245,184,29,7493,"
Rape/Non-ConHermione Granger/Ron Weasley Harry Potter/Ginny Weasley Seamus Finnigan/Dean Thomas Hermione Granger & Ginny Weasley Hermione Granger & Harry PotterRon Weasley Hermione Granger Harry Potter Ginny Weasley Seamus Finnigan Dean Thomas Neville Longbottom Luna Lovegood Draco Malfoy Lavender Brown Nymphadora Tonks Rita Skeeter Madam Rosmerta (Harry Potter) Kingsley Shacklebolt Cormac McLaggen Parvati Patil Zacharias Smith Michael Corner Ernie Macmillan Padma Patil Fleur Delacour Bill Weasley Percy Weasley Audrey Weasley Weasley Family (Harry Potter) Charlie Weasley Astoria Greengrass Molly Weasley Justin Finch-Fletchleyromione romione au Slow Burn slow burn romione mild references to noncon mild references to abusive relationships grad students Alternate Universe - College/University University Alternate Universe Alternate Universe - Modern Setting Harry Potter is a Good Friend Football | Soccer College Football football is a substitute for quidditch Astoria Greengrass is a man Astor Greengrass Draco Malfoy is a Good Friend Ginny Weasley is a Good Friend Fluffy Smut Fluff and Smut Academia Attempted Rape/Non-Con Past Attempted Rape/Non-Con Date Rape Drug/Roofies Flashbacks Shared past Alternate Universe - Muggle Parallelism Adult relationship Healthy Relationships Developing Relationship Developing Friendships Established Relationship
","
Hermione Granger is brilliant: she completed her PhD in Linguistics at 25, and is the youngest faculty member at the University. Ron Weasley, an unruly quantum physicist... well, he's getting there. But when Granger gets stacked with a project she hates and has to talk to other scholars at the University, their paths cross and become permanently intertwined in a way neither of them could've ever anticipated. (Slow Burn Romione Muggle Uni AU)
"
Puzzle Pieces,wickersnap,24425824,28 May 2020,General Audiences,M/M,No Archive Warnings Apply,Complete Work,English,"2,740",1,22,270,38,2016,"
No Archive Warnings ApplyHarry Potter/Ron WeasleyRon Weasley Harry Potter Ginny Weasley Charlie WeasleyPillow Fights snuggles Just the fluffiest thing you can imagine adorable au where Harry and Lily both have brown eyes Fluff all happy things here all weasleys live Post-War The Burrow (Harry Potter) summer evenings Established Relationship
","
“A pillow fort is an essential part of living,” he explains, “and we’re going to build one right now.”“Now?” Harry asks. “In here?”He grins. “Where else?”
"
Train Station,barnettdidit,24425965,28 May 2020,General Audiences,F/M,Choose Not To Use Archive Warnings,Complete Work,English,"4,378",1,12,88,10,1944,"
Creator Chose Not To Use Archive WarningsHermione Granger/Draco MalfoyHermione Granger Draco Malfoy Ron Weasley Theodore NottAngst not HEA this is sad af Open Ending Sad Ending get the tissues out lads Harry Potter Epilogue What Epilogue | EWE Post-War
","

Draco watched Theo pick up the glass, angling it towards his mouth as he waited for his response. His eyes wandered away, fixating on Hermione.

“I kissed Granger.”

Champagne sprayed into the thankfully empty spot next to Theo as the brown-haired wizard spat out the sip he’d just taken, doubling over with a coughing fit. 

“You bloody what?”
(Draco is hopelessly in love and is rather inept at handling it)
"
Absence,bratchet,24426439,28 May 2020,Mature,M/M,Choose Not To Use Archive Warnings,Complete Work,English,"2,794",1,0,85,10,2002,"
Creator Chose Not To Use Archive WarningsDraco Malfoy/Harry PotterDraco Malfoy Harry Potter Emma Potter-MalfoyMarriage Arguments Family Explicit Language Smut Anal Fingering Anal Sex Groping
","
Draco and Harry have an argument, and Draco doesn't return home for a week.
"
work husbands,Mathilda_Selem,24426619,24 Jul 2020,Teen And Up Audiences,M/M,Choose Not To Use Archive Warnings,Complete Work,English,"4,374",2,10,163,13,1848,"
Creator Chose Not To Use Archive WarningsHarry Potter/Ron WeasleyMillicent Bulstrode Harry Potter Ron WeasleyPast Relationship(s) Past Harry Potter/Ginny Weasley Past Hermione Granger/Ron Weasley mentions of Trans!Bulstrode very mild dubcon Work partners - Freeform Auror Harry Potter Auror Ron Weasley Aurors Feelings Realization Harry Potter is a possessive bastard
","
Just some short thing inspired by an instagram post of a lady calling their favourite fellow nurse their ""work wife"".Theoretically  Harry has known for a long time that Ron is bisexual or something.However he had spent the last years being pretty much unaware of it. It never came really up with Ron dating Lavender and marrying Hermione and having kids and then dating Susan, Lavender again, Emmie after that, then Josephine.Ron had never called him his work wife but he obviously felt very comfortable with his new partner Bulstrode being referred to as such.Harry finally has to deal with the fact that Ron wouldn't be opposed to have a relationship with a man and he's not okay with idea  to give up his position as the most important man in his mate's life.Also he's drunk and wants to kiss Ron.
"
Feet-uring Albus and James,matters17793,24426658,13 Nov 2020,Explicit,M/M,Rape/Non-Con,Complete Work,English,"4,607",6,6,36,2,3650,"
Rape/Non-ConAlbus Severus Potter-Weasley/James Sirius Potter-Weasley Scorpius Malfoy-Lupin/Albus Severus Potter-Weasley Teddy Malfoy-Lupin/James Sirius Potter-Weasley Teddy Malfoy-Lupin/Albus Severus Potter-Weasley/James Sirius Potter-WeasleyAlbus Severus Potter-Weasley James Sirius Potter-Weasley Scorpius Mafloy-Lupin Teddy Malfoy-LupinLGBTQ Foot Fetish Foot Jobs Foot Massage Brother/Brother Incest Incest Sibling Incest Gay Sex Gay Male Character Oral Sex Anal Sex Voyeurism Threesome - M/M/M Caught Bondage
","
When Albus sees something different, he realises that there is one thing about James he loves more than anything else.THIS WORK IS COMPLETE.
"
Daffodils and Roses,Cissy_Toujours_Pur666,24426877,01 Jun 2020,Teen And Up Audiences,F/F,Choose Not To Use Archive Warnings,Complete Work,English,"4,838",3,2,130,10,2094,"
Creator Chose Not To Use Archive WarningsHermione Granger/Narcissa Black MalfoyNarcissa Black Malfoy Hermione Granger Ron Weasley Minerva McGonagall Neville LongbottomDecisions Falling In Love Friends to Lovers Love Confessions Rating May Change Don't Like Don't Read
","
It was five years after the war, and despite the fact that Hermione had had everything she needed, she was not happy… she had had a good job in a higher position in the ministry for magic, she was earning much more money than she could have ever imagine to earn, but nevertheless there was something, that was missing…Shouldn’t Hermione be happy with all that money?Shouldn’t she be happy to have survive the war?Shouldn’t she be happy to have Draco as one of her friends since a few months now?!Shouldn’t she be happy to be in a relationship?! Yeah okay, here is definitely a no, because she really wasn’t that happy anymore…But she definitely should be happy about all those other things…She needed something else… something more than she had had right now…Something she couldn’t pay for…
"
The Gender Eaters,toutcequonveut,24426904,28 May 2020,Teen And Up Audiences,Gen,Graphic Depictions Of Violence,Complete Work,English,"1,500",1,10,40,2,187,"
Graphic Depictions Of ViolenceTom Riddle | Voldemort Voldemort (Harry Potter) Lucius MalfoyGender Issues Agender Character Humor Crack ish could be crack or could be canon and just wasn't mentioned since it wasn't relevant to Harry's story Torture it's not super graphic and it's on Death Eaters if that makes a difference to you Agender Voldemort
","
Thinking about gender makes Voldemort tired and confused. Lucius helps Voldemort figure it out.Based on a prompt from HP TransFest that hadn't been fulfilled :D
"
Unforgivable,aebbe,24426997,14 Jan 2022,Teen And Up Audiences,Gen,No Archive Warnings Apply,Work in Progress,English,"129,544",24,69,54,8,2361,"
No Archive Warnings ApplyAlbus Severus Potter & James Sirius Potter & Lily Luna Potter Scorpius Malfoy & Lily Luna Potter James Sirius Potter & Scorpius MalfoyScorpius Malfoy James Sirius Potter Lily Luna Potter Albus Severus Potter Harry Potter Draco Malfoy Original Female Character(s) Original Male Character(s)Family Dynamics Family Secrets Dark Magic Not Harry Potter and the Cursed Child Compliant Harry Potter Epilogue Compliant Background Relationships POV Multiple Harry Potter Next Generation Next Generation Drama Family Drama Friendship Plot Lots of plot although let's be honest it's at least half drama and shenanigans and ridiculous teenagers being ridiculous
","
2022. The war is over, the world remade. When a Muggle schoolgirl is attacked with the Imperius Curse, Harry finds himself hunting not a single, rogue magic-user but a mass of conspiracies and dark magic, with the Malfoy family at the centre of them.  Meanwhile old rivalries are stirred up at Hogwarts when the first Malfoy for generations is sorted into Gryffindor.The war may be history, but old grudges run deep, divides are at best patched over, and some actions of the past may just be unforgivable.Updates roughly once a week, but no promises.
"
The Dragon Does Zoe Nightshade,megamatt09,24427024,29 May 2020,Explicit,F/M,Choose Not To Use Archive Warnings,Complete Work,English,"2,310",1,1,35,19,9432,"
Creator Chose Not To Use Archive WarningsHarry Potter/Zoe NightshadeHarry Potter Zoë NightshadeShameless Smut Cock Worship Edgeplay Body Worship Loss of Virginity Maledom/Femsub Anal Sex
","
Hadrian lays claim to Zoe despite her temptation to fight him. First posted as a blog exclusive chapter on October 11th, 2018
"
Devil in a New Dress,fabel,24427081,28 May 2020,Explicit,F/M,No Archive Warnings Apply,Complete Work,English,"4,827",1,16,233,44,6342,"
No Archive Warnings ApplyHermione Granger/Harry PotterHarry Potter Hermione Granger Ginny WeasleyPlot What Plot/Porn Without Plot Smut Romance Jealousy Post-War this is terrible do not read
","
Hermione grudgingly wears a very revealing dress at Ginny's insistence but she never expected her night to turn out like this.
"
The quality of mercy,orphan_account,24427111,28 May 2020,Teen And Up Audiences,"F/M, M/M",Choose Not To Use Archive Warnings,Work in Progress,English,"4,456",1,23,71,18,628,"
Creator Chose Not To Use Archive WarningsAlbus Dumbledore/Regulus Black Tina Goldstein/Newt Scamander Leta Lestrange/Theseus Scamander past Albus Dumbledore/Gellert Grindelwald - Relationship Leta Lestrange & Regulus BlackRegulus Black Albus Dumbledore Leta Lestrange Newt Scamander Tina Goldstein Theseus Scamander Gellert Grindelwald Jacob Kowalski Leonard The Niffler And his Suitcase Companionstime-travel The Noble and Most Ancient House of Black Magical Supremacy Regulus morality is weird Regulus deserved better Manipulative Albus Dumbledore PTSD for everyone Bc they all be in a war guys Human Disaster Albus Dumbledore Human Disaster Regulus Black Human Disaster Leta Lestrange Leta Lestrange Lives Regulus Black Lives Gellert Grindelwald Being Creepy Manipulative Gellert Grindelwald Gellert Grindelwald Being an Asshole Accidental Time Traveling on Regulus Part Slow Burn Good Albus Dumbledore Jude Law!Albus Dumbledore Historical homophobia in the magical world! I blame JK influence in the books And the fact that society was like 'marry young have kids' to everyone Gay Regulus Black Gay Albus Dumbledore Slow To Update Self-Indulgent No beta we Die like those Character I didn't let die in this Au
","
Regulus Black is 34, feels 120, and has spent a life soul-hunting only to arrive too late to save his brother, the only other soul he cared about. The power of spite and binge-spellcrafting without sleeping are too powerful. Regulus is 34, feels 187, and he somehow ended up in Paris, 1927 in time to see how another Dark Lord rises to power. He thinks not.
"
Killing me softly (with his song),TheTimeTravellingHufflepuff,24427297,28 May 2020,General Audiences,Gen,No Archive Warnings Apply,Complete Work,English,"2,276",1,0,2,0,35,"
No Archive Warnings ApplySirius Black & Fabian PrewettFabian Prewett Sirius BlackMusician Sirius Black Alternate Universe - Non-Magical
","
Four ficlets about musician!Sirius and Fabian
"
Heavy,brokenbottleaurora,24427528,28 May 2020,Teen And Up Audiences,F/M,No Archive Warnings Apply,Complete Work,English,"2,112",1,1,4,0,151,"
No Archive Warnings ApplyHarry Potter/Ginny Weasley
","
There are some burdens too heavy for even true love to bear. / ""The fault, dear Brutus, is not in our stars, but in ourselves."" — William Shakespeare, Julius Caesar
"
Movie Night,damonsgirl23,24427657,28 May 2020,General Audiences,F/F,"Choose Not To Use Archive Warnings, No Archive Warnings Apply",Complete Work,English,341,1,0,2,1,41,"
Creator Chose Not To Use Archive Warnings No Archive Warnings ApplyKatie Bell/Cho ChangCho Chang Katie BellMovie Night Fluff Teen Romance
","
Cho and katie go out on date night at a movie theater.
"
No Regrets,GoringWriting,24427885,28 May 2020,Not Rated,M/M,Choose Not To Use Archive Warnings,Complete Work,English,"4,795",1,2,150,23,1428,"
Creator Chose Not To Use Archive WarningsOriginal Percival Graves/Newt ScamanderNewt Scamander Seraphina Picquery Abernathy (Fantastic Beasts) Original Percival Graves Theseus Scamander Leta Lestrange Aurelius Dumbledore Queenie Goldstein Tina Goldstein Credence BareboneExecution Dark Magic Coma MACUSA | Magical Congress of the United States of America Theseus Scamander is a Good Sibling Young Albus Dumbledore Professor Albus Dumbledore Temporary Character Death Pre-Relationship Fake Character Death False Identity BAMF Newt Scamander Sex is mentioned briefly
","
When Graves is found  he's in a magically induced coma there's no way to save him... correction there is one way to save him...dark magic that only Newt can perform. With MACUSA still feeling the sting of the Grindelwald debacle they are eager to sentence him to death for the use of dark magic. Will Newt avoid his execution or will he be seeing the death potion even closer than last time?
"
The Dreamscape Agreement,Mavrick,24427939,28 May 2020,Teen And Up Audiences,"Gen, M/M",Graphic Depictions Of Violence,Work in Progress,English,990,1,7,41,9,290,"
Graphic Depictions Of ViolenceHarry Potter/Tom Riddle | VoldemortHarry Potter Tom Riddle | VoldemortHumor Fluff Timeline What Timeline drabble-y Dreams Overuse of the word dreams tbh
","
Harry and Tom quickly find out that they can dreamwalk into each other's dreams. Now, while this usually causes a great amount of passive-aggressive friction (""stay on your side of the dreamscape!"" and ""oh, you dream of me? How flattering/That's not what you dreamt last night""), it proves to not entirely be a bad thing to have when one of them needs company in their nightmares.Alternative Title(/s): - aren't you tired of nightmares? don't you just want to be loved?- That Mysterius Recurring Dream of Loving Someone So Wholly But Waking Up With Only A Vague Sense of Yearning
"
Daddy Issues,cocoartist,24428161,28 May 2020,Teen And Up Audiences,F/M,No Archive Warnings Apply,Complete Work,English,"6,662",1,19,403,72,4631,"
No Archive Warnings ApplyHermione Granger/James Potter Harry Potter/Ginny WeasleyHermione Granger James Potter Harry Potter Ginny Weasley Ron Weasley Luna LovegoodFluff and Humor Prompt Fic James Potter Lives (again) Adult Hermione Granger No Underage Sex Friends to Lovers no major age difference this is a very uncontroversial fic despite the title title is absolutely a joke sorry
","
One day, James Potter fell out of the sky.
"
The Devil's Courtship,ColieLox,24428263,14 Aug 2020,Mature,F/M,Choose Not To Use Archive Warnings,Work in Progress,English,"19,032",5,4,23,5,549,"
Creator Chose Not To Use Archive WarningsTom Riddle/Original Female Character(s)Tom Riddle | Voldemort Abraxas Malfoy Original Female Character(s)
","
Part 2 of the series about Allura Malfoy (Original Female Character) and Tom Riddle Jr. Tom Riddle's summer with the Malfoy family reaches an exciting and important conclusion, and sixth year proves to be quite a roller coaster for him as well as for Allura.
"
Hufflepuff Common Room and Dorm,Magnificent_Beast,24428344,28 May 2020,General Audiences,No category,No Archive Warnings Apply,Complete Work,English,0,1,0,8,0,64,"
No Archive Warnings ApplyFanart Hogwarts
", 
catastrophic,cocoartist,24428557,28 May 2020,Teen And Up Audiences,M/M,No Archive Warnings Apply,Complete Work,English,"2,620",1,8,102,15,1225,"
No Archive Warnings ApplySirius Black/Tom RiddleSirius Black Tom Riddle James Potter Lily Evans Potteri call this ship the death star Death Star Originally Posted on Tumblr Tumblr Prompt Alternate Universe - College/University Oxford Alternate Universe Alternate Universe - Muggle Privilege Boys Kissing posh boys behaving badly Oxford AU Secret Societies the bullingdon club
","
Tom Riddle is the second reason Sirius Black is having a terrible day.
"
Quite Enough,zephsomething,24428788,28 May 2020,General Audiences,M/M,No Archive Warnings Apply,Complete Work,English,818,1,4,18,0,385,"
No Archive Warnings ApplyCharlie Weasley/Original Male Character(s)Charlie Weasley a variety of OCsAlternate Universe - Canon Divergence
","
Charlie and Julian go visit some friends, and their kids.
"
The Pharaoh and the Magic of the North,MaatkareOfEgypt,24428794,22 Apr 2021,Teen And Up Audiences,F/M,No Archive Warnings Apply,Complete Work,English,"103,393",58,14,28,2,963,"
No Archive Warnings ApplyMahaado/Hermione Granger Ishizu Ishtar/Yami YuugiMahaado | Mahad Yami Yuugi | Atem Hermione Granger Harry Potter Ron Weasley Dolores Umbridge Bill Weasley Bakura Ryou Marik Ishtar Ishizu Ishtar Draco Malfoy Vincent Crabbe Gregory Goyle Sirius Black Albus Dumbledore Molly Weasley Arthur Weasley Bellatrix Black LestrangeCross-Posted on FanFiction.Net Fantasy Friendship Hogwarts Fifth Year
","
After losing the Ceremonial Duel, Yami decides to resurrect his most faithful servant, Mahaad. They never expected to receive letters inviting them to a magic school, where they make friends, and face old enemies. Can they help their new allies defeat Voldemort and protect their secrets? Why does Shadi seem to think one of these wizards will inherit the Millennium Eye?
"
Harry Potter and the Chambers of Slytherin.,Saugustine,24428812,22 Apr 2022,Teen And Up Audiences,Gen,Graphic Depictions Of Violence,Work in Progress,English,"34,089",18,32,114,27,2762,"
Graphic Depictions Of ViolenceHarry Potter & Severus Snape Loki (Marvel) & Harry Potter Draco Malfoy & Harry Potter Loki (Marvel) & Severus SnapeHarry Potter Loki (Marvel) Severus Snape Draco Malfoy Hermione Granger Fred Weasley George WeasleyBook 2: Harry Potter and the Chamber of Secrets Emotional Hurt/Comfort PTSD Crossover Alternate Universe - Harry Potter Setting Female Loki (Marvel) Hurt/Comfort Trauma Flashbacks Past Child Abuse Child Abuse Slow Build all the feels Fluff
","
*Please see ‘Harry Potter and the Sorcerer’s Twin’ before continuing the story here*After Harry's first year in the house of Slytherin with the twins Ankaa (Loki) and Draco Malfoy, he had thought he had found a family.  Now though, he will be forced to face reality by going home to face his Aunt and Uncle.  He will not be going alone.  Professor Snape had been 'ordered' to ensure his safety due to the attack on Harry's life by Voldemort the previous year.  Many questions remain though.  Will Ankaa/Loki be able to control her outbursts of deadly, accidental magic?  Can Harry and Draco keep people from discovering her dark secret about her panic attacks?  And what is with the mysteriously blank diary in Lucius Malfoy's vault?
"
Dirty Waters,xfandomwritingsx,24429346,28 May 2020,Mature,F/M,No Archive Warnings Apply,Complete Work,English,527,1,1,60,3,1194,"
No Archive Warnings ApplyLucius Malfoy/ReaderLucius MalfoyAngst
","
You reflect on Lucius as he sits in his prison.
"
Little Rendezvous,moony_julymoonlight,24429475,28 May 2020,Teen And Up Audiences,F/M,No Archive Warnings Apply,Complete Work,English,"5,886",1,19,325,42,3291,"
No Archive Warnings ApplyHermione Granger/Draco MalfoyHermione Granger Draco Malfoy Blaise Zabini Pansy Parkinson Theodore Nott Daphne GreengrassNot Epilogue Compliant Harry Potter Epilogue What Epilogue | EWE Post-War Post-Hogwarts Fluff Fluff and Humor Co-workers Awkward Romance Oblivious Draco Malfoy
","
Draco Malfoy is on a mission to prove that Hermione Granger is not as perfect as she seems. She may have bewitched everyone but it would not work on him.
"
R.E.M,meladorema,24429898,25 Jun 2020,General Audiences,M/M,Choose Not To Use Archive Warnings,Complete Work,English,"22,268",10,14,142,22,3260,"
Creator Chose Not To Use Archive WarningsDrarry - Relationship Draco Malfoy/Harry PotterHarry Potter Draco Malfoy Pansy Parkinson Hermione Granger Neville Longbottom Ron Weasley Ginny Weasley OFC OMC Original Female Characters Original Male Charactersdraco has depression and anxiety Auror Harry Potter Auror Ron Weasley Angst Fluff Insomnia Drinking harry is a soft boyfriend Dreaming lucid dream Bonding bond Boyfriends Harry Potter - Freeform Draco Malfoy - Freeform working Library Coffee Shop Gay Fanfiction Slow Burn
","
It's been five years since the war but Draco's never been doing worse. Living with Pansy since his mother died and the Ministry took everything he owned, he spends his days looking for a way to get his life back, and his nights trying to sleep through his nightmares.But one night, a boy with a golden tattoo on his neck that says R.E.M starts visiting his dreams and comforts him, making his nights less unbearable.And the next time he sees Harry, it's the first thing he notices: The tattoo on his neck.
"
Against the Wall with Draco Malfoy,macaparket,24429922,28 May 2020,Explicit,F/M,No Archive Warnings Apply,Complete Work,English,827,1,2,56,4,3293,"
No Archive Warnings ApplyHermione Granger/Draco MalfoyHermione Granger Draco WalfoyWall Sex
","
Hermione... Draco... in a dark elevator... Need I say more!
"
Snape x Reader SFW Alphabet,Kintsukuroi97,24430099,28 May 2020,General Audiences,F/M,No Archive Warnings Apply,Complete Work,English,"1,700",1,6,86,5,2182,"
No Archive Warnings ApplySeverus Snape/Reader Severus Snape/YouSeverus Snape ReaderReader-Insert reader - Freeform Alphabet sfw
","
SFW Alphabet for Snape!!!
"
"cute moments, useless lesbians",Fjodor - Harry Potter (Fjodor),24430210,28 May 2020,General Audiences,F/F,No Archive Warnings Apply,Complete Work,English,"1,980",1,0,226,13,2714,"
No Archive Warnings ApplyFleur Delacour/Hermione GrangerFleur Delacour Hermione Granger Cho Chang Lavender Brown Cedric DiggoryUseless Lesbians stubborn fleur delacour baby gay hermione granger date cocoa date
","
Hermione is concerned about Fleurs clothing choices, they enjoy a drink and some chocolate in the pub
"
Boys,tornyourdress,24430219,28 May 2020,Teen And Up Audiences,M/M,Underage,Complete Work,English,200,1,0,2,0,51,"
UnderageDouglas Hector Albus Dumbledore
","
Two teachers in the afterlife, and the boys they didn't dare touch.
"
One Little Kiss,tornyourdress,24430372,28 May 2020,Teen And Up Audiences,F/M,No Archive Warnings Apply,Complete Work,English,686,1,0,14,0,360,"
No Archive Warnings ApplyRemus Lupin/Lily Evans Potter Remus Lupin & Lily Evans PotterRemus Lupin Lily Evans Potter
","
When a kiss is not just a kiss.
"
Dancing with Fire,SecretWonderland,24430393,26 Oct 2020,Not Rated,"F/F, M/M",Choose Not To Use Archive Warnings,Complete Work,English,"148,728",25,145,516,63,17331,"
Creator Chose Not To Use Archive WarningsDraco Malfoy/Harry Potter Hermione Granger/Ron Weasley Lucius Malfoy/Narcissa Black Malfoy Sirius Black/Remus Lupin Cho Chang/Cedric Diggory Draco Malfoy/Blaise ZabiniDraco Malfoy Harry Potter Hermione Granger Ron Weasley Blaise Zabini Pansy Parkinson Luna Lovegood Lucius Malfoy Narcissa Black Malfoy LuLu the Kneazle Sirius Black Remus Lupin Albus Dumbledore Goblet of Fire (Harry Potter) Hogwarts Students Hogwarts Staff Severus Snape Alastor ""Mad-Eye"" Moody Death Eater Characters House-Elves (Harry Potter)Slow Burn Good Draco Malfoy Draco Malfoy is a spy Good Narcissa Black Malfoy Narcissa Black Malfoy is a Good Parent Book 4: Harry Potter and the Goblet of Fire Canon-Typical Violence Fluff and Angst Suicidal Thoughts Severus Snape Has a Heart Harry Potter is a Little Shit canon character death goblet of fire friends Dancing one second you'll want a hug the next you'll want to punch me in the face draco deserves a break
","
He feels the familiar pull of Veritaserum right before the astonishment that his mother- his own pure and loving mother- used it on him. LuLu didn’t even warn him, the traitor. Luckily he’s been learning how to deal with the potion for a while now. Everything would be fine, except Pansy and Blaise have no training, and his mother is deceivingly good at brewing. Or the one where everything is getting better in his life until Harry's name throws itself out of the Goblet of Fire and Draco doesn't mind killing his friend if it means keeping him safe
"
Burn Your Starry Crown (The So Young Remix),tornyourdress,24430441,28 May 2020,General Audiences,F/M,Choose Not To Use Archive Warnings,Complete Work,English,"1,224",1,4,56,1,1223,"
Creator Chose Not To Use Archive WarningsHermione Granger/Severus SnapeHermione Granger Severus Snape Original Female Character(s)
","
After the war, a new student at Hogwarts tries to understand what connects Professor Granger and Professor Snape.
"
Definitely Not Average,Gloryofluv,24431050,06 Jun 2020,Mature,Multi,Choose Not To Use Archive Warnings,Work in Progress,English,"69,988",27,41,92,39,3817,"
Creator Chose Not To Use Archive WarningsHermione Granger/Remus Lupin Sirius Black/Hermione GrangerHermione Granger Remus Lupin Sirius Black Harry Potter Ginny Weasley Fenrir Greyback Regulus BlackLight BDSM Photography Car Accidents Los Angeles Non-Canon Relationship Secrets Dominance Submission Rope Bondage Surprises Mistaken for Being in a Relationship Age Difference Alternate Universe - Modern Setting
","
When Hermione travels to the states for a bit of fun before work, a car accident creates a situation for the woman. Being picked up on the side of the road and saved by a man in a bubble gum pink shirt.Now, with her new friends, she gets a taste of the states with English flair. They begin to decipher each other with intrigue and dare I say, interest? What are they hiding-- or not? Assumptions pave the way to chaos one brick at a time. Hopefully, it's not lost on those when the truth is out. Can you say ""Yes, Sir, "" with a gag in your mouth?
"
"Fanart for ""The Endless Expanse of Immortality""",rosaamarilla,24431344,29 May 2020,Not Rated,No category,Choose Not To Use Archive Warnings,Complete Work,English,28,1,12,116,4,1665,"
Creator Chose Not To Use Archive WarningsHarry Potter Death (Harry Potter)Fanart
","
Death following Harry around like a shroud. (who knew he would take his job so seriously?)-- in reference to Ch. 2: The Significance of a Name wherein Hades explains the life and times of being a demigod to Harry (consisting of death, and more death).i.e. Just Harry (Potter) Johnson doing an edgelord pose with Death photobombing the background. Also smoke, lots of smoke.
"
Mr Sandman,prettylittlepetticoats,24431410,29 May 2020,Explicit,F/M,Choose Not To Use Archive Warnings,Complete Work,English,"3,285",1,4,378,48,7170,"
Creator Chose Not To Use Archive WarningsHermione Granger/Tom Riddle Hermione Granger/Tom Riddle | VoldemortTom Riddle | Voldemort Tom Riddle Hermione GrangerEventual Smut Smut Slow Build Romance Possessive Behavior Lust Enemies to Lovers Enemies Angst Power Dynamics Power Play Evil Plans Sassy Time Travel Alternate Universe - Time Travel POV Hermione Granger Possessive Tom Riddle Manipulative Tom Riddle Young Tom Riddle Fluff and Angst
","

'Mr Sandman bring me a dream, make her the cutest that I've ever seen' 
Hermione lands in his lap, an accident and yet he calls her a gift. She should hate him, should recoil from his touch and yet it only takes weeks for her to fall, to become his, completely /ONESHOT
"
Of Cold Hands and Snores.,orphan_account,24431488,29 May 2020,Teen And Up Audiences,F/M,Choose Not To Use Archive Warnings,Complete Work,English,304,1,6,51,1,842,"
Creator Chose Not To Use Archive WarningsTina Goldstein/Newt ScamanderNewt Scamander Tina GoldsteinLove Confessions Romance Post-Movie 2: Fantastic Beasts: The Crimes of Grindelwald Honeymoon Kissing Cuddling & Snuggling
","
Newt and Tina are trapped in a cabin on their Honeymoon. Conversations...
"
Awkward,orphan_account,24431869,29 May 2020,General Audiences,Other,No Archive Warnings Apply,Complete Work,English,224,1,0,26,0,430,"
No Archive Warnings ApplyGinny Weasley/ReaderGinny Weasley Readerhm sorry this is so short sorry - Freeform its trash i know
","
You tap your foot expectantly, worriedly glancing at the door every few seconds. Any minute now Ginny would be walking out of the door, red hair trailing behind her.  Or, reader tries to ask Ginny out but is really awkward.
"
Correspondence Course,a_t_rain,24431872,04 Jun 2020,Teen And Up Audiences,Gen,No Archive Warnings Apply,Complete Work,English,"17,225",6,26,61,14,822,"
No Archive Warnings ApplyJames Potter/Lily Evans PotterRemus Lupin Sirius Black James Potter Lily Evans Potter Peter Pettigrew Severus SnapeEpistolary Marauders
","
A teenaged Remus Lupin, Sirius Black, and Severus Snape get summer jobs as instructors for the Kwikspell Correspondence School, with regrettable results.
"
Luckiest Baby in the World,mfingenius,24431881,29 May 2020,Mature,M/M,No Archive Warnings Apply,Complete Work,English,"18,512",1,163,3905,661,37400,"
No Archive Warnings ApplyDraco Malfoy/Harry PotterDraco Malfoy Harry Potter Hermione Granger Ron Weasley Minerva McGonagall Molly Weasley Narcissa Black Malfoy Remus Lupin Sirius BlackMpreg Pregnant Draco Malfoy Hogwarts Eighth Year Post-War Redeemed Draco Malfoy Spy Draco Malfoy Fluff Don't copy to another site Everybody Lives
","
“You’re staring,” Malfoy says.  
“I’m not.” Harry is. He just - he can’t see it. 
“You can’t see it yet, Potter.” Malfoy sounds miffed.  
“I’m not trying to,” Harry lies, finally tearing his eyes away; he looks out the window in a desperate attempt to get a single thought into his head that isn’t what the fuck.  
“Look,” Malfoy says. “It’s not like I’m telling you that you have to be a part of its life. I only-” 
“How do you know it’s mine?” The question is out of his mouth before Harry can think better of it, and he immediately regrets it because of the way Malfoy’s face shutters, turns cold. 
"
